path,ext,bytes,classification,reason,sha256
assets/druze-hikma-manuscript.jpg,.jpg,530794,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,e3e6b4c47c27a61a23a37baf08855cc42e5dbbd284ea37e663264e287434d395
assets/hallaj-execution-mughal.webp,.webp,666122,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,486295ee19c38a3506ceac54195de1b533dc770dfff171e0670807c9e5b3c7a1
assets/druze-mithaq-wali-zaman.jpg,.jpg,465799,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,f1868852d6b3caffc761e1610908f5e73200acf52e4da680c7a08c9ae4f7fd6c
assets/reiderland-map-1842.jpg,.jpg,807183,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,6844b57a8097e9efd5e7fcf77abf3465589386680d9f620b16fcc2cb5ba41fb1
assets/al-hakim-mosque-cairo.jpg,.jpg,957991,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,1531645938099b7207a541140fb57398ba3ad285e00a90dbb490cad6c3642f18
assets/research-media/chaam-antonius.webp,.webp,60314,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,a15cdf237cad6f3a07116682a941b71cb3dbfb85d881f6d98c2a079ad14959c0
assets/research-media/java-manuscript.svg,.svg,1002,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,0321546ff8c868d1c040cca4076827621348066c246d7f1608ffef63d66e527f
assets/research-media/passport-syrian-redacted.jpg,.jpg,126355,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,698cca6a25b1a068650c044fa02b330bef4b77654889359355df051616c5aa87
assets/research-media/kevelaer-gnadenkapelle.webp,.webp,216294,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,ce9a3ea4ca9b27ac698244613d317c0d79e3f797fa6e65a65aa1f81d5040af01
assets/research-media/burckhardt.webp,.webp,45866,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,faaba9dd4e9e432000ea06af416b74867209df3f70f0a3469c3ef337ae112aea
assets/research-media/hoogstraten.webp,.webp,69378,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,90cd364c45ac3d5afea1ce23f6856b5b5a638ec9a1d5b3d71eb91823ded26a93
assets/research-media/polleke.jpg,.jpg,153224,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,a113cb3b433904c5d36c469b7d6571dd34184843ebd370faac187698751512af
assets/research-media/red-heifer-timeline.svg,.svg,1063,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,c8d17292f31b00cbb0125d4b94d87c1fe62904c4383b2af498d205f574c79a5d
assets/research-media/red-heifer.svg,.svg,999,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,db62edf10c2a23bb0a6de2ca1f2e61ebd94fef2aceab47382901e6fbf98b6259
assets/research-media/passport-dutch-redacted.jpg,.jpg,195761,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,7e0cb49a08dde3ef06a5292eac24e2951a596a7f397d04ce8a9c9b20672c1a24
assets/research-media/pet-goat-analysis.svg,.svg,1032,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,c76ec9e8c4b095aa82c856dfdd4eebac2a2b547d801e22ca1c84e773243a0442
assets/research-media/chaam-ledevaert.webp,.webp,135306,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,dd5c8ea46afa085ef2e3edddf25798604e26bc9244b014f4bdc3f219fe2b942f
assets/research-media/erasmus.webp,.webp,71500,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,5964f0befbc7d85e4c29ee98d28639c4acce6ee6baed66a9071a9aa8ff3e3eb5
assets/research-media/urania.jpg,.jpg,1099457,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,b094c31a969e1357d0038422babed39b4a31e520e045c9cb2dc7e2e672f40a90
assets/research-media/media-stage.svg,.svg,1005,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,ab9dcdf8faf233118c6620430693d6b64fc83bd5b933199b464184d6b7ac1d8f
assets/research-media/alphen-willibrordus.webp,.webp,82630,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,f7bb89c0bfd3913fc8ce6f3a68c4c9ee917efa801522ac6e1ec2ed07032618d4
assets/research-media/grote-kerk-breda.png,.png,106684,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,4a963b95bf081c3ea02923dceaeb3f8085e1a654fc54840aac61a57a60903fef
assets/research-media/hondsdonk.webp,.webp,163328,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,8542a982c76b6383773694e075fb54d01776dcc0e1b7fb4555e1eda900747af4
assets/research-media/java-script-grid.svg,.svg,977,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,7d255045baddc49099bade8a4421c7a57422335e99b9b8fab062fbb06672d705
assets/book-covers-png/fusus.png,.png,17567,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,2ad5768d630edcced62cd0240c11f23dbd5175ef6eab0c3b6cb998a10e35a274
assets/book-covers-png/muqaddimah.webp,.webp,8228,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,639c42a6a3ef31c90c261111bc4b7fdfad0cfe90598c47e7da215356305639d4
